cell	x	y	z	host
85	753.500000	765.000000	125.000000	1
89	890.500000	135.000000	125.000000	1
93	890.500000	495.000000	125.000000	1
97	890.500000	855.000000	125.000000	1
101	1027.500000	225.000000	125.000000	1
105	1027.500000	585.000000	125.000000	1
109	1027.500000	945.000000	125.000000	1
113	1164.500000	315.000000	125.000000	1
117	1164.500000	675.000000	125.000000	1
121	1301.500000	45.000000	125.000000	1
125	1301.500000	405.000000	125.000000	1
129	1301.500000	765.000000	125.000000	1
133	1438.500000	135.000000	125.000000	1
137	1438.500000	495.000000	125.000000	1
141	1438.500000	855.000000	125.000000	1
145	1575.500000	225.000000	125.000000	1
149	1575.500000	585.000000	125.000000	1
153	1575.500000	945.000000	125.000000	1
157	1712.500000	315.000000	125.000000	1
161	1712.500000	675.000000	125.000000	1
165	1849.500000	45.000000	125.000000	1
169	1849.500000	405.000000	125.000000	1
173	1849.500000	765.000000	125.000000	1
177	1986.500000	135.000000	125.000000	1
181	1986.500000	495.000000	125.000000	1
185	1986.500000	855.000000	125.000000	1
189	2123.500000	225.000000	125.000000	1
193	2123.500000	585.000000	125.000000	1
197	2123.500000	945.000000	125.000000	1
201	2260.500000	315.000000	125.000000	1
205	2260.500000	675.000000	125.000000	1
209	2397.500000	45.000000	125.000000	1
213	2397.500000	405.000000	125.000000	1
217	2397.500000	765.000000	125.000000	1
221	2534.500000	135.000000	125.000000	1
225	2534.500000	495.000000	125.000000	1
229	2534.500000	855.000000	125.000000	1
233	2671.500000	225.000000	125.000000	1
237	2671.500000	585.000000	125.000000	1
241	2671.500000	945.000000	125.000000	1
245	2808.500000	315.000000	125.000000	1
249	2808.500000	675.000000	125.000000	1
253	2945.500000	45.000000	125.000000	1
257	2945.500000	405.000000	125.000000	1
261	2945.500000	765.000000	125.000000	1
265	3082.500000	135.000000	125.000000	1
269	3082.500000	495.000000	125.000000	1
273	3082.500000	855.000000	125.000000	1
277	3219.500000	225.000000	125.000000	1
281	3219.500000	585.000000	125.000000	1
285	3219.500000	945.000000	125.000000	1
289	3356.500000	315.000000	125.000000	1
293	3356.500000	675.000000	125.000000	1
297	3493.500000	45.000000	125.000000	1
301	3493.500000	405.000000	125.000000	1
305	3493.500000	765.000000	125.000000	1
309	3630.500000	135.000000	125.000000	1
313	3630.500000	495.000000	125.000000	1
