cell	x	y	z	host
75	616.500000	855.000000	125.000000	0
76	616.500000	945.000000	125.000000	0
77	753.500000	45.000000	125.000000	0
78	753.500000	135.000000	125.000000	0
79	753.500000	225.000000	125.000000	0
80	753.500000	315.000000	125.000000	0
81	753.500000	405.000000	125.000000	0
82	753.500000	495.000000	125.000000	0
83	753.500000	585.000000	125.000000	0
84	753.500000	675.000000	125.000000	0
85	753.500000	765.000000	125.000000	0
86	753.500000	855.000000	125.000000	0
87	753.500000	945.000000	125.000000	0
88	890.500000	45.000000	125.000000	0
89	890.500000	135.000000	125.000000	0
90	890.500000	225.000000	125.000000	0
91	890.500000	315.000000	125.000000	0
92	890.500000	405.000000	125.000000	0
93	890.500000	495.000000	125.000000	0
94	890.500000	585.000000	125.000000	0
95	890.500000	675.000000	125.000000	0
96	890.500000	765.000000	125.000000	0
97	890.500000	855.000000	125.000000	0
98	890.500000	945.000000	125.000000	0
99	1027.500000	45.000000	125.000000	0
100	1027.500000	135.000000	125.000000	0
101	1027.500000	225.000000	125.000000	0
102	1027.500000	315.000000	125.000000	0
103	1027.500000	405.000000	125.000000	0
104	1027.500000	495.000000	125.000000	0
105	1027.500000	585.000000	125.000000	0
106	1027.500000	675.000000	125.000000	0
107	1027.500000	765.000000	125.000000	0
108	1027.500000	855.000000	125.000000	0
109	1027.500000	945.000000	125.000000	0
110	1164.500000	45.000000	125.000000	0
111	1164.500000	135.000000	125.000000	0
112	1164.500000	225.000000	125.000000	0
113	1164.500000	315.000000	125.000000	0
114	1164.500000	405.000000	125.000000	0
115	1164.500000	495.000000	125.000000	0
116	1164.500000	585.000000	125.000000	0
117	1164.500000	675.000000	125.000000	0
118	1164.500000	765.000000	125.000000	0
119	1164.500000	855.000000	125.000000	0
120	1164.500000	945.000000	125.000000	0
121	1301.500000	45.000000	125.000000	0
122	1301.500000	135.000000	125.000000	0
123	1301.500000	225.000000	125.000000	0
124	1301.500000	315.000000	125.000000	0
125	1301.500000	405.000000	125.000000	0
126	1301.500000	495.000000	125.000000	0
127	1301.500000	585.000000	125.000000	0
128	1301.500000	675.000000	125.000000	0
129	1301.500000	765.000000	125.000000	0
130	1301.500000	855.000000	125.000000	0
131	1301.500000	945.000000	125.000000	0
132	1438.500000	45.000000	125.000000	0
133	1438.500000	135.000000	125.000000	0
134	1438.500000	225.000000	125.000000	0
135	1438.500000	315.000000	125.000000	0
136	1438.500000	405.000000	125.000000	0
137	1438.500000	495.000000	125.000000	0
138	1438.500000	585.000000	125.000000	0
139	1438.500000	675.000000	125.000000	0
140	1438.500000	765.000000	125.000000	0
141	1438.500000	855.000000	125.000000	0
142	1438.500000	945.000000	125.000000	0
143	1575.500000	45.000000	125.000000	0
144	1575.500000	135.000000	125.000000	0
145	1575.500000	225.000000	125.000000	0
146	1575.500000	315.000000	125.000000	0
147	1575.500000	405.000000	125.000000	0
148	1575.500000	495.000000	125.000000	0
149	1575.500000	585.000000	125.000000	0
150	1575.500000	675.000000	125.000000	0
151	1575.500000	765.000000	125.000000	0
152	1575.500000	855.000000	125.000000	0
153	1575.500000	945.000000	125.000000	0
154	1712.500000	45.000000	125.000000	0
155	1712.500000	135.000000	125.000000	0
156	1712.500000	225.000000	125.000000	0
157	1712.500000	315.000000	125.000000	0
158	1712.500000	405.000000	125.000000	0
159	1712.500000	495.000000	125.000000	0
160	1712.500000	585.000000	125.000000	0
161	1712.500000	675.000000	125.000000	0
162	1712.500000	765.000000	125.000000	0
163	1712.500000	855.000000	125.000000	0
164	1712.500000	945.000000	125.000000	0
165	1849.500000	45.000000	125.000000	0
166	1849.500000	135.000000	125.000000	0
167	1849.500000	225.000000	125.000000	0
168	1849.500000	315.000000	125.000000	0
169	1849.500000	405.000000	125.000000	0
170	1849.500000	495.000000	125.000000	0
171	1849.500000	585.000000	125.000000	0
172	1849.500000	675.000000	125.000000	0
