cell	x	y	z	host
41	750.000000	300.000000	125.000000	1
49	1250.000000	900.000000	125.000000	1
57	2250.000000	500.000000	125.000000	1
65	3250.000000	100.000000	125.000000	1
73	153.500000	497.000000	125.000000	1
81	460.500000	639.000000	125.000000	1
89	767.500000	781.000000	125.000000	1
97	1074.500000	923.000000	125.000000	1
105	1688.500000	71.000000	125.000000	1
113	1995.500000	213.000000	125.000000	1
121	2302.500000	355.000000	125.000000	1
129	2609.500000	497.000000	125.000000	1
137	2916.500000	639.000000	125.000000	1
145	3223.500000	781.000000	125.000000	1
153	3530.500000	923.000000	125.000000	1
161	666.000000	875.000000	400.000000	1
169	1554.000000	875.000000	400.000000	1
177	2442.000000	875.000000	400.000000	1
185	3330.000000	875.000000	400.000000	1
193	1665.000000	499.500000	50.000000	1
201	15.000000	20.500000	125.000000	1
209	15.000000	348.500000	125.000000	1
217	15.000000	676.500000	125.000000	1
225	45.000000	20.500000	125.000000	1
233	45.000000	348.500000	125.000000	1
241	45.000000	676.500000	125.000000	1
249	75.000000	20.500000	125.000000	1
257	75.000000	348.500000	125.000000	1
265	75.000000	676.500000	125.000000	1
273	105.000000	20.500000	125.000000	1
281	105.000000	348.500000	125.000000	1
289	105.000000	676.500000	125.000000	1
297	135.000000	20.500000	125.000000	1
305	135.000000	348.500000	125.000000	1
313	135.000000	676.500000	125.000000	1
321	165.000000	20.500000	125.000000	1
329	165.000000	348.500000	125.000000	1
337	165.000000	676.500000	125.000000	1
345	195.000000	20.500000	125.000000	1
353	195.000000	348.500000	125.000000	1
361	195.000000	676.500000	125.000000	1
369	225.000000	20.500000	125.000000	1
377	225.000000	348.500000	125.000000	1
385	225.000000	676.500000	125.000000	1
393	255.000000	20.500000	125.000000	1
401	255.000000	348.500000	125.000000	1
409	255.000000	676.500000	125.000000	1
417	285.000000	20.500000	125.000000	1
425	285.000000	348.500000	125.000000	1
433	285.000000	676.500000	125.000000	1
441	315.000000	20.500000	125.000000	1
449	315.000000	348.500000	125.000000	1
457	315.000000	676.500000	125.000000	1
465	345.000000	20.500000	125.000000	1
473	345.000000	348.500000	125.000000	1
481	345.000000	676.500000	125.000000	1
489	375.000000	20.500000	125.000000	1
497	375.000000	348.500000	125.000000	1
505	375.000000	676.500000	125.000000	1
513	405.000000	20.500000	125.000000	1
521	405.000000	348.500000	125.000000	1
529	405.000000	676.500000	125.000000	1
537	435.000000	20.500000	125.000000	1
545	435.000000	348.500000	125.000000	1
553	435.000000	676.500000	125.000000	1
561	465.000000	20.500000	125.000000	1
569	465.000000	348.500000	125.000000	1
577	465.000000	676.500000	125.000000	1
585	495.000000	20.500000	125.000000	1
593	495.000000	348.500000	125.000000	1
601	495.000000	676.500000	125.000000	1
609	525.000000	20.500000	125.000000	1
617	525.000000	348.500000	125.000000	1
625	525.000000	676.500000	125.000000	1
633	555.000000	20.500000	125.000000	1
641	555.000000	348.500000	125.000000	1
649	555.000000	676.500000	125.000000	1
657	585.000000	20.500000	125.000000	1
665	585.000000	348.500000	125.000000	1
673	585.000000	676.500000	125.000000	1
681	615.000000	20.500000	125.000000	1
689	615.000000	348.500000	125.000000	1
697	615.000000	676.500000	125.000000	1
705	645.000000	20.500000	125.000000	1
713	645.000000	348.500000	125.000000	1
721	645.000000	676.500000	125.000000	1
729	675.000000	20.500000	125.000000	1
737	675.000000	348.500000	125.000000	1
745	675.000000	676.500000	125.000000	1
753	705.000000	20.500000	125.000000	1
761	705.000000	348.500000	125.000000	1
769	705.000000	676.500000	125.000000	1
777	735.000000	20.500000	125.000000	1
785	735.000000	348.500000	125.000000	1
793	735.000000	676.500000	125.000000	1
801	765.000000	20.500000	125.000000	1
809	765.000000	348.500000	125.000000	1
817	765.000000	676.500000	125.000000	1
825	795.000000	20.500000	125.000000	1
833	795.000000	348.500000	125.000000	1
841	795.000000	676.500000	125.000000	1
849	825.000000	20.500000	125.000000	1
857	825.000000	348.500000	125.000000	1
865	825.000000	676.500000	125.000000	1
873	855.000000	20.500000	125.000000	1
881	855.000000	348.500000	125.000000	1
889	855.000000	676.500000	125.000000	1
897	885.000000	20.500000	125.000000	1
905	885.000000	348.500000	125.000000	1
913	885.000000	676.500000	125.000000	1
921	915.000000	20.500000	125.000000	1
929	915.000000	348.500000	125.000000	1
937	915.000000	676.500000	125.000000	1
945	945.000000	20.500000	125.000000	1
953	945.000000	348.500000	125.000000	1
961	945.000000	676.500000	125.000000	1
969	975.000000	20.500000	125.000000	1
977	975.000000	348.500000	125.000000	1
985	975.000000	676.500000	125.000000	1
993	1005.000000	20.500000	125.000000	1
1001	1005.000000	348.500000	125.000000	1
1009	1005.000000	676.500000	125.000000	1
1017	1035.000000	20.500000	125.000000	1
1025	1035.000000	348.500000	125.000000	1
